2017-02-05 16:27:25 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Submitting ResultStage 6 (MapPartitionsRDD[20] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:27:25 INFO  MemoryStore:54 - Block broadcast_13 stored as values in memory (estimated size 832.1 KB, free 1990.5 MB)
2017-02-05 16:27:25 INFO  MemoryStore:54 - Block broadcast_13_piece0 stored as bytes in memory (estimated size 567.0 KB, free 1989.9 MB)
2017-02-05 16:27:25 INFO  BlockManagerInfo:54 - Added broadcast_13_piece0 in memory on 192.168.0.103:63440 (size: 567.0 KB, free: 1993.0 MB)
2017-02-05 16:27:25 INFO  SparkContext:54 - Created broadcast 13 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:27:25 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 6 (MapPartitionsRDD[20] at map at GSO_SparkMain.java:160)
2017-02-05 16:27:25 INFO  TaskSchedulerImpl:54 - Adding task set 6.0 with 1 tasks
2017-02-05 16:27:25 WARN  TaskSetManager:66 - Stage 6 contains a task of very large size (832 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:27:25 INFO  TaskSetManager:54 - Starting task 0.0 in stage 6.0 (TID 6, localhost, partition 0, PROCESS_LOCAL, 852815 bytes)
2017-02-05 16:27:25 INFO  Executor:54 - Running task 0.0 in stage 6.0 (TID 6)
2017-02-05 16:27:35 INFO  Executor:54 - Finished task 0.0 in stage 6.0 (TID 6). 859452 bytes result sent to driver
2017-02-05 16:27:35 INFO  TaskSetManager:54 - Finished task 0.0 in stage 6.0 (TID 6) in 9510 ms on localhost (1/1)
2017-02-05 16:27:35 INFO  DAGScheduler:54 - ResultStage 6 (collect at GSO_SparkMain.java:160) finished in 9.511 s
2017-02-05 16:27:35 INFO  TaskSchedulerImpl:54 - Removed TaskSet 6.0, whose tasks have all completed, from pool 
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Job 6 finished: collect at GSO_SparkMain.java:160, took 9.530314 s
2017-02-05 16:27:35 INFO  MemoryStore:54 - Block broadcast_14 stored as values in memory (estimated size 2.3 MB, free 1987.7 MB)
2017-02-05 16:27:35 INFO  MemoryStore:54 - Block broadcast_14_piece0 stored as bytes in memory (estimated size 569.8 KB, free 1987.1 MB)
2017-02-05 16:27:35 INFO  BlockManagerInfo:54 - Added broadcast_14_piece0 in memory on 192.168.0.103:63440 (size: 569.8 KB, free: 1992.4 MB)
2017-02-05 16:27:35 INFO  SparkContext:54 - Created broadcast 14 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:27:35 INFO  GSO_SparkMain:153 - ******************Iteration: 7***************************
2017-02-05 16:27:35 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Got job 7 (collect at GSO_SparkMain.java:160) with 1 output partitions
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Final stage: ResultStage 7 (collect at GSO_SparkMain.java:160)
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Parents of final stage: List()
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Missing parents: List()
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Submitting ResultStage 7 (MapPartitionsRDD[23] at map at GSO_SparkMain.java:160), which has no missing parents
2017-02-05 16:27:35 INFO  MemoryStore:54 - Block broadcast_15 stored as values in memory (estimated size 838.9 KB, free 1986.3 MB)
2017-02-05 16:27:35 INFO  MemoryStore:54 - Block broadcast_15_piece0 stored as bytes in memory (estimated size 571.4 KB, free 1985.7 MB)
2017-02-05 16:27:35 INFO  BlockManagerInfo:54 - Added broadcast_15_piece0 in memory on 192.168.0.103:63440 (size: 571.4 KB, free: 1991.9 MB)
2017-02-05 16:27:35 INFO  SparkContext:54 - Created broadcast 15 from broadcast at DAGScheduler.scala:1012
2017-02-05 16:27:35 INFO  DAGScheduler:54 - Submitting 1 missing tasks from ResultStage 7 (MapPartitionsRDD[23] at map at GSO_SparkMain.java:160)
2017-02-05 16:27:35 INFO  TaskSchedulerImpl:54 - Adding task set 7.0 with 1 tasks
2017-02-05 16:27:35 WARN  TaskSetManager:66 - Stage 7 contains a task of very large size (839 KB). The maximum recommended task size is 100 KB.
2017-02-05 16:27:35 INFO  TaskSetManager:54 - Starting task 0.0 in stage 7.0 (TID 7, localhost, partition 0, PROCESS_LOCAL, 859738 bytes)
2017-02-05 16:27:35 INFO  Executor:54 - Running task 0.0 in stage 7.0 (TID 7)
2017-02-05 16:27:45 INFO  Executor:54 - Finished task 0.0 in stage 7.0 (TID 7). 879432 bytes result sent to driver
2017-02-05 16:27:45 INFO  TaskSetManager:54 - Finished task 0.0 in stage 7.0 (TID 7) in 9945 ms on localhost (1/1)
2017-02-05 16:27:45 INFO  TaskSchedulerImpl:54 - Removed TaskSet 7.0, whose tasks have all completed, from pool 
2017-02-05 16:27:45 INFO  DAGScheduler:54 - ResultStage 7 (collect at GSO_SparkMain.java:160) finished in 9.946 s
2017-02-05 16:27:45 INFO  DAGScheduler:54 - Job 7 finished: collect at GSO_SparkMain.java:160, took 9.967587 s
2017-02-05 16:27:45 INFO  MemoryStore:54 - Block broadcast_16 stored as values in memory (estimated size 2.3 MB, free 1983.4 MB)
2017-02-05 16:27:45 INFO  MemoryStore:54 - Block broadcast_16_piece0 stored as bytes in memory (estimated size 582.8 KB, free 1982.8 MB)
2017-02-05 16:27:45 INFO  BlockManagerInfo:54 - Added broadcast_16_piece0 in memory on 192.168.0.103:63440 (size: 582.8 KB, free: 1991.3 MB)
2017-02-05 16:27:45 INFO  SparkContext:54 - Created broadcast 16 from broadcast at GSO_SparkMain.java:150
2017-02-05 16:27:45 INFO  GSO_SparkMain:153 - ******************Iteration: 8***************************
2017-02-05 16:27:45 INFO  SparkContext:54 - Starting job: collect at GSO_SparkMain.java:160
2017-02-05 16:27:45 INFO  DAGScheduler:54 - Got job 8 (collect at GSO_SparkMain.java:160) with 1 output partitions
